iter	Logloss
0	0.6560582277
1	0.6265167534
2	0.6007272804
3	0.5622636844
4	0.5443581228
5	0.5266490718
6	0.5078566646
7	0.4905412579
8	0.4712508796
9	0.4622302194
10	0.4408600166
11	0.4270952889
12	0.4155986051
13	0.3996793843
14	0.3856575144
15	0.3727400276
16	0.361243313
17	0.3569704085
18	0.3490970697
19	0.3365575927
20	0.3254829808
21	0.3230436119
22	0.3129922945
23	0.3024972313
24	0.2936178231
25	0.2872794628
26	0.2798432936
27	0.2770867462
28	0.2692726707
29	0.2651368238
30	0.2640934482
31	0.2607975009
32	0.257021642
33	0.2527802545
34	0.2492461105
35	0.2443872896
36	0.2410883337
37	0.2371314846
38	0.2346598851
39	0.2290631795
40	0.2231163406
41	0.2222231751
42	0.219442973
43	0.2181351778
44	0.2155401799
45	0.212474683
46	0.2077093077
47	0.2062640245
48	0.2047993788
49	0.2033049631
50	0.1997352796
51	0.1970016135
52	0.1945686607
53	0.1931317692
54	0.1919895995
55	0.1904935476
56	0.1869880828
57	0.1863320792
58	0.184393632
59	0.1811152181
60	0.1791665504
61	0.1782215216
62	0.1776885164
63	0.1758732834
64	0.1745867735
65	0.1721405371
66	0.1706929552
67	0.1684090285
68	0.1666851986
69	0.1664177845
70	0.1654810551
71	0.1645912931
72	0.1630421979
73	0.1615969776
74	0.1597555481
75	0.157641605
76	0.1557360665
77	0.153992789
78	0.1532996707
79	0.151738924
80	0.1495783854
81	0.1472117249
82	0.1450949916
83	0.1444654547
84	0.1442560586
85	0.1433720074
86	0.1423087943
87	0.141136287
88	0.1396530792
89	0.1386735365
90	0.1378182784
91	0.1374257603
92	0.1359736202
93	0.1349393438
94	0.1340079939
95	0.1337018531
96	0.1330078781
97	0.1318181077
98	0.1312191802
99	0.1286885341
100	0.1280714417
101	0.126575966
102	0.1252484471
103	0.1247494659
104	0.1238694084
105	0.1233061335
106	0.1230351541
107	0.1221971507
108	0.1213784314
109	0.1205906599
110	0.1192906403
111	0.1189385984
112	0.1181665657
113	0.1168060375
114	0.115521645
115	0.1147163602
116	0.1142827494
117	0.1135039405
118	0.1124892293
119	0.1112750307
120	0.1099930668
121	0.1085714763
122	0.1078031623
123	0.1073459819
124	0.1060854889
125	0.1054193574
126	0.1048996036
