ÀÏÀÚ,Æò±Õ±â¿Â(¼·¾¾),ÃÖ´ë±â¿Â(¼·¾¾),ÃÖ¼Ò±â¿Â(¼·¾¾),Æò±Õ ÁöÇ¥¿Âµµ(¼·¾¾),ÃÖ´ë ÁöÇ¥¿Âµµ(¼·¾¾),ÃÖ¼Ò ÁöÇ¥¿Âµµ(¼·¾¾),½Àµµ(ÆÛ¼¾Æ®),ÀÏ»ç·®(¼öÆò¸éÀûÀÏ»ç·®),Ç³¼Ó(¹ÌÅÍ ¸Å ÃÊ)
2020-12-08,8.41,13.37,2.761,6.617,7.412,6.015,78.72,104.7,0.609
2020-12-09,6.566,10.18,4.147,7.528,8.05,7.118,86.6,104.4,0.889
2020-12-10,5.093,12.6,-0.106,7.271,7.762,6.591,85.6,105.7,0.239
2020-12-11,8.01,13.01,1.821,7.17,7.683,6.776,77.78,105,0.523
2020-12-12,8.86,11.63,3.707,7.475,7.886,7.19,90.8,105.2,0.053
2020-12-13,6.859,9.64,-1.021,7.85,8.09,7.503,79.91,104.5,1.272
2020-12-14,6.167,14.29,-1.83,6.799,7.513,6.095,77.59,105.4,0.77
2020-12-15,0.641,3.302,-0.777,6.299,7.223,5.609,87.7,103.7,2.252
2020-12-16,0.105,1.551,-0.646,5.247,5.609,4.969,88.3,103.5,0.919
2020-12-17,1.079,2.498,0.266,4.771,4.979,4.569,94,105.5,1.357
2020-12-18,2.882,5.661,0.74,4.412,4.578,4.226,89.1,104.2,0.965
2020-12-19,4.901,8.76,2.761,4.345,4.729,4.148,86.2,105.6,0.892
2020-12-20,1.971,3.805,-0.474,4.577,4.794,4.366,73.36,103.4,1.995
2020-12-21,3.728,6.611,0.266,4.042,4.388,3.796,79.17,103.7,1.102
2020-12-22,4.79,7.953,-1.16,4.369,4.88,4.081,79.09,104.2,0.478
2020-12-23,5.3,11.99,-1.695,4.712,5.425,4.104,78.53,105.5,0.263
2020-12-24,6.613,14.62,-2.967,4.772,5.482,4.142,83.2,108.9,0.049
2020-12-25,8.46,12.2,4.754,6.012,6.583,5.481,82.1,110.9,0.697
2020-12-26,4.552,8.42,0.334,5.633,6.161,5.299,71.77,106.2,0.008
2020-12-27,3.715,9.77,-1.422,4.961,5.413,4.454,87.5,110,0
2020-12-28,9.01,10.99,4.79,5.351,6.171,4.861,99.8,112.6,0
2020-12-29,9.41,14.88,3.023,6.673,7.489,6.171,91.7,108.1,0
2020-12-30,7.531,13.08,1.585,6.702,7.132,6.241,99.6,106.8,0.01
2020-12-31,-1.864,1.619,-3.339,5.561,6.779,4.775,99.5,100.8,0.081
